LAD_CODE,LAD_NAME,Av_08,Comp0812,Con0812,Lei0812,Ser0812
E06000002,Middlesbrough,147.987573094423198,-33.061476782619962,-21.472252871484130,-18.685173091918429,-21.438618820626942
E07000153,Kettering,117.820463808713058,-12.277666593907085,-10.246954956512297,-9.631320203702572,-9.296305137367540
E07000164,Hambleton,136.957406941569445,-21.204713938627762,-20.797546593706386,-21.359794227733317,-19.519838505525641
E06000025,South Gloucestershire,199.378952192430319,-40.977687670847672,-24.713074339504999,-25.908268146705126,-21.645556499259740
E07000148,Norwich,210.781979969010422,-35.481705732474751,-30.119368578145725,-28.237508325405713,-27.830201627079276
E07000223,Adur,126.717478276747840,-17.418482338643230,-17.888877405944768,-18.652230818046988,-17.553191771397081
E09000020,Kensington and Chelsea,537.071068739342650,-51.009156038594824,-35.255723680068854,-41.738822584007551,-35.239612968250015
E07000139,North Kesteven,100.792519177311277,-8.711548445818863,-10.947647305572815,-9.195523345186842,-8.633238356953342
E07000169,Selby,117.961390911452185,-18.514497800016841,-18.023287984282447,-19.122595385561795,-16.470240965433931
E08000017,Doncaster,125.800377859253345,-22.406437886427369,-16.489654184600894,-17.412814229819531,-16.372032273601434
E09000013,Hammersmith and Fulham,322.230279017676708,-33.769868593524507,-20.935465613365523,-22.978553494923460,-20.069279067156089
E07000213,Spelthorne,169.766149025466717,-27.011328517641545,-20.296734785662110,-20.563150386968516,-22.027137050851223
E07000130,Charnwood,124.939649698227910,-11.477670324908232,-12.496167285697197,-10.588830135685342,-10.086994094962293
E07000074,Maldon,118.468374042380702,-16.133624475005035,-13.630600617593970,-26.501801524275294,-18.314744992921462
E07000011,Huntingdonshire,148.214969866992874,-22.790744362424675,-21.062966567719798,-20.055266041959371,-23.474957069146200
E07000050,North Dorset,129.298003292641624,-18.687284219625468,-18.562983672566403,-23.024392087779972,-18.512139691965871
E06000019,"Herefordshire, County of",124.001292065508466,-16.966235635901313,-15.832283128542670,-14.371072592258727,-15.674948579155583
E07000028,Carlisle,151.322730397162161,-33.002562496254768,-25.031955754025631,-26.809056732686855,-18.894252753991680
E08000009,Trafford,328.917383041349638,-84.032423766550380,-45.217216640560878,-48.833820829641013,-35.842711877440763
E08000010,Wigan,121.679219616079195,-22.537859155262780,-21.010392283123664,-19.715831150679890,-18.051164891119640
E07000131,Harborough,116.460838875756409,-10.651425329074584,-12.157105695480524,-10.509226102742915,-9.557618514275902
E07000227,Horsham,180.647719206543485,-27.575566940220341,-26.744355594587148,-22.822180428807940,-24.466188012900034
E08000011,Knowsley,144.083689925457463,-25.210759411490798,-22.384260693952754,-22.411067358445038,-23.616753538763660
E07000101,Stevenage,216.969044406666143,-34.796478043486076,-27.125627784610174,-34.208826757766445,-31.144220473073403
E08000002,Bury,180.525391584936898,-36.718473949450413,-33.809986740269210,-28.129357802971242,-25.942703922828628
E07000141,South Kesteven,127.646615615193880,-12.580731029034382,-11.605753443603476,-10.461386937595847,-10.722693773012907
E06000032,Luton,129.941039319837472,-20.452662940359644,-19.528266408112160,-19.604290818370032,-19.211273301994140
E07000135,Oadby and Wigston,115.408398600273756,-10.082126332034193,-10.856604855053519,-9.825703181473600,-11.108446154231800
E07000200,Babergh,148.096232397029183,-23.682208152474459,-19.897944213479704,-24.004001075605714,-21.242428739280939
E07000105,Ashford,194.284050243746265,-31.566317394573787,-23.422262432057408,-29.411654099809965,-22.889180828466749
E08000001,Bolton,152.843112114633698,-29.066807214002040,-25.132281649900193,-25.690426298005320,-22.258445981338468
E09000005,Brent,186.692736385632145,-15.502847638557284,-14.698709534220711,-14.811238166580125,-15.015983956721385
E07000123,Preston,164.021720307951711,-29.935126394038946,-27.398493843906124,-25.658149163770005,-26.904167189790911
E08000027,Dudley,175.830649773172667,-32.035171273403677,-17.748404225754769,-15.817936578021786,-17.352052541928984
E07000043,North Devon,136.685411132815148,-24.060220739832630,-18.166289588201096,-19.400590594236562,-17.185445971051607
E07000178,Oxford,281.098629292295584,-40.092602144266181,-33.649862024669460,-46.737692775623259,-35.261161452939803
E07000236,Redditch,243.370308505638747,-34.165191451945674,-35.362796259566181,-25.776105340000811,-30.046386613233096
E07000168,Scarborough,138.529932565195281,-21.405954326401513,-23.054189165868905,-22.632623478230272,-17.717258826506750
E08000032,Bradford,128.790401372344604,-21.384427005408355,-21.435440483574425,-17.340250725476352,-17.433555513285299
E07000208,Epsom and Ewell,185.193075171198871,-32.763651553685605,-21.509743457386378,-23.332016779564668,-25.075907538603701
E06000009,Blackpool,262.819690127675926,-24.221431831513996,-18.817736602060137,-69.951440199641354,-15.637598468900578
E09000016,Havering,148.247078173709838,-12.461591450109609,-11.399470303450812,-12.034287767907415,-11.574143864633669
E06000035,Medway,125.554002208626088,-19.734733042097901,-16.615503741546277,-16.568100743208504,-16.550268290755795
E07000165,Harrogate,176.145621672751531,-28.118522130854387,-26.802186419908537,-29.795194818682631,-21.742561804288044
E09000029,Sutton,155.838141443290823,-13.404175764348167,-12.334744735953450,-12.350223601159058,-12.140729566315429
E06000026,Plymouth,173.429407005601604,-28.698861588174253,-22.208983214403304,-27.998899697502338,-22.064787733028666
E06000045,Southampton,166.349786477081523,-29.181740029454687,-21.347739766239442,-20.357856036673823,-21.966923115334197
E07000205,Suffolk Coastal,123.230922716878482,-19.452342491561623,-21.207510956189836,-18.004094620844342,-17.388065243396056
E06000027,Torbay,141.528664491876668,-21.610621870836624,-20.781649492421593,-25.265622107936650,-18.005709622147066
E07000038,North East Derbyshire,87.328209686092691,-7.701981789669887,-8.822051930729572,-7.131420137778804,-8.426318088630296
E06000007,Warrington,171.572151969291667,-35.969010026596436,-26.357079562165183,-26.857457632804085,-24.134178571967112
E07000197,Stafford,148.316286030295970,-22.587962497604707,-18.791876496835542,-16.236980642056039,-16.583882963049746
E07000136,Boston,110.580863504681375,-11.810271836608408,-8.670130179334308,-8.572762615072790,-8.947909721997760
E07000005,Chiltern,170.046085864838375,-23.652632826774919,-25.552873580568189,-23.747121196809474,-23.527266054401110
E07000134,North West Leicestershire,96.990589291026964,-9.299996074239431,-8.404508337139831,-7.624403031218179,-8.387409073470494
E07000140,South Holland,98.444160548595718,-9.694117058371290,-8.425721929186224,-8.892804157064759,-8.544228163510155
E07000026,Allerdale,153.391691509296265,-24.223338954073284,-20.688224319736506,-45.403807157130530,-18.242284305120478
E07000008,Cambridge,317.833532454809131,-51.998230269975295,-37.559168784995109,-59.425891211334601,-33.202715363083627
E07000053,Weymouth and Portland,202.234229907282014,-36.810847878713361,-24.947434600048211,-32.068319608606885,-20.806246144897102
E07000217,Woking,230.991771915652777,-35.932697819563543,-33.038694277334002,-29.951957990540876,-30.822105659573140
E07000214,Surrey Heath,190.375625812989711,-28.013910087359193,-25.327980025130643,-25.247385902239643,-27.488666263039505
E08000024,Sunderland,128.088396820066436,-27.104579390801575,-22.083437299850303,-19.465441414000210,-19.137781252494207
E07000212,Runnymede,147.687901426915857,-20.034162327699605,-19.853472577220060,-19.443546272492370,-21.872947183042498
E07000089,Hart,148.650698653265152,-19.719787338033228,-18.304029627186068,-19.636804219205345,-22.542479201222733
E09000010,Enfield,180.441054456340822,-15.251446055808486,-13.675657974878106,-13.920232639914360,-14.598880816258003
E07000077,Uttlesford,174.231592291634030,-27.503124569886012,-24.488038207023976,-25.923692001197310,-23.341100960462938
E07000220,Rugby,142.007076688589336,-19.653584990010245,-16.063173547318456,-17.631307830677969,-17.582040162922439
E07000116,Tunbridge Wells,221.507623561426016,-34.854969014415616,-27.142798156381645,-25.661599400382443,-27.848682865462166
E07000219,Nuneaton and Bedworth,147.177726489348657,-21.013762061907187,-15.644144068418157,-18.889215394327536,-17.919035051544327
E07000147,North Norfolk,131.125571394779655,-20.984344235958943,-19.386360320519600,-20.084455252399650,-17.669256093692695
E08000030,Walsall,114.186286973387809,-16.705364489414364,-14.046448239913943,-12.918110293489391,-14.326499757296190
E09000008,Croydon,151.810345726104430,-16.114329575988535,-10.549278062199903,-10.737704545319488,-10.655882085290571
E07000029,Copeland,69.824110119136620,-12.453195078333700,-10.780638734301988,-12.309225034187449,-11.094822325174839
E06000037,West Berkshire,202.026086625271432,-30.215259501937510,-28.075912651902229,-26.438344400175453,-28.493440731220318
E06000033,Southend-on-Sea,128.509133541457857,-21.194802067656681,-18.351690026677275,-19.353199642569123,-17.402924771462622
E07000081,Gloucester,127.698896422104269,-24.817775919458711,-17.935336451511290,-14.618707950989659,-17.592429970976738
E07000004,Aylesbury Vale,179.440375302763300,-28.928401268902178,-26.994407269855429,-22.114663306879351,-22.791914823498189
E07000104,Welwyn Hatfield,187.149761047902814,-30.879013380439915,-17.422675077606215,-26.373141759106943,-26.875089206862526
E08000029,Solihull,261.506845001147042,-42.159639969289515,-27.828656503041117,-27.287316064057507,-29.830279652202933
E06000054,Wiltshire,151.248687870475578,-24.533007037355333,-22.785922972467603,-21.069483509629464,-20.728717679207705
E07000235,Malvern Hills,103.967418948201470,-13.125583601075789,-12.970037986284780,-12.974352380176740,-13.856120252395158
E08000003,Manchester,198.481698121852304,-41.518868018354311,-33.221829018959767,-30.958637907077161,-28.272373673531092
E08000012,Liverpool,149.578351727590729,-35.181576461460025,-21.683501025902814,-23.695378219728212,-19.877840071673873
E07000194,Lichfield,203.261332466398471,-28.080647728185141,-26.743144151699028,-24.823456793041487,-24.249318767077540
E07000128,Wyre,125.812630025270138,-23.097004283523290,-22.551504280692640,-20.569454362648841,-20.397863236187206
E09000021,Kingston upon Thames,276.896421515601844,-30.562164146685689,-18.864526386051864,-17.612658000878753,-19.204813653183891
E06000034,Thurrock,520.995922684985430,-104.118089415666077,-53.260617398775935,-46.695999025059791,-42.424856435440034
E07000188,Sedgemoor,106.837660602322288,-16.985274510910656,-19.964324857255988,-15.951457494777955,-14.223600639280264
E09000015,Harrow,185.271495554610453,-15.928047938976817,-14.408111777051488,-13.563113431870704,-15.441940634200762
E06000050,Cheshire West and Chester,215.418625786070010,-45.712179318239833,-30.803671090855090,-33.797473935745614,-27.838007121901512
E07000007,Wycombe,191.868055295546213,-32.790103912226300,-22.133030998756766,-25.805067124644665,-24.312689248880531
E07000218,North Warwickshire,88.575362044025567,-13.070885131716310,-10.326551045987472,-9.700538598351699,-11.051112016155727
E09000032,Wandsworth,224.357922574904279,-20.208070594252405,-16.667192110550388,-17.025998393578391,-17.877373592437408
E07000175,Newark and Sherwood,98.617819825738479,-10.102859978832910,-7.904084496075967,-7.651510965735000,-8.531017923010481
E08000020,Gateshead,269.295373577167652,-69.603232538677730,-34.582505794293013,-31.818798375422432,-28.396168340550361
E07000119,Fylde,113.076283670504182,-18.091531347864532,-19.106012620906753,-21.881921377347922,-19.826226529077601
E08000021,Newcastle upon Tyne,217.450453212326693,-43.044647208404797,-33.489915339393093,-31.788037341268989,-35.582947202549008
E09000018,Hounslow,226.981459311682073,-20.880770105115346,-16.214713421765879,-16.879485884474178,-17.576913795960024
E08000007,Stockport,141.229579954461542,-28.248075162561605,-25.124304787734602,-21.078996631361377,-22.186185488505146
E08000005,Rochdale,130.588814770095638,-22.624533771339827,-30.955908894560537,-19.562307860165689,-19.389436785372638
E07000082,Stroud,86.943706176070492,-13.931694708522215,-13.199702704606551,-11.951761937669630,-12.878369826630887
E07000069,Castle Point,147.792786179647663,-17.166638605039765,-20.077622523027856,-20.152039036485704,-28.348532341595899
E07000034,Chesterfield,127.386303014398123,-11.839450759053676,-13.377538077168026,-10.949189482133292,-10.374697460841759
E07000096,Dacorum,187.692077750697763,-28.800310500476542,-24.762496322100048,-29.675563566175413,-26.990944158592328
E07000222,Warwick,158.392918119556498,-23.167946246136836,-15.998154504711309,-18.570444380675696,-19.607030420136766
E07000167,Ryedale,108.267313889537249,-18.160768570401558,-18.310938950087674,-14.763624112096366,-14.538152677075104
E07000192,Cannock Chase,115.076962652941660,-15.202580831971403,-14.773347650348327,-14.193653961894228,-14.900338362128039
E07000041,Exeter,226.130493467561195,-39.115494738912076,-30.401569934423691,-31.077796448057939,-29.290110892050109
E07000091,New Forest,155.838039565593505,-23.094497394096948,-20.088072727962754,-20.240075015455020,-21.496813343386663
E06000036,Bracknell Forest,167.996410815960616,-22.050550877888526,-22.299058925894599,-29.732552619590336,-23.979793531894558
E07000171,Bassetlaw,97.545214825214458,-9.151465657958880,-9.679720060726410,-8.590074906879963,-8.414330193216060
E06000043,Brighton and Hove,212.757468820827171,-34.586634317539534,-27.211939601066490,-32.045894479537850,-23.321227896758273
E07000113,Swale,103.094784987874704,-13.772282276881100,-14.899700520432575,-14.674018585774277,-14.601679768663786
E07000107,Dartford,649.362851564122479,-148.800739568692052,-57.032062484510789,-62.631146891733238,-37.777933300456652
E09000014,Haringey,216.480843209588954,-20.823967964901954,-15.333239109042125,-16.134132114767453,-17.265000140778170
E07000098,Hertsmere,183.385815946690713,-27.083913079486109,-25.371161162172342,-26.712927744466384,-29.125681402251985
E07000040,East Devon,135.124369248704227,-21.376745468986513,-19.993677889580340,-18.989274134613623,-19.369424677080573
E06000005,Darlington,135.047072019644418,-28.851724001777683,-21.416103374852725,-17.560977590482480,-20.215571581814899
E07000201,Forest Heath,143.936509428856255,-20.461123161384080,-22.718021070702235,-23.458087834916427,-21.244483498131260
E07000066,Basildon,204.747245102788241,-31.552640244311590,-27.025968613435111,-28.234418239433836,-31.637303111621691
E07000067,Braintree,134.400238704574122,-20.720469555796640,-20.601384372505777,-21.934925015416368,-17.714862625326134
E07000121,Lancaster,107.282904024381082,-19.539007707570974,-18.942950887338753,-20.131818832468241,-17.418474658607536
E07000036,Erewash,86.487460140234134,-7.997795762172956,-8.212351033686005,-7.300686277400260,-7.635739439059691
E06000001,Hartlepool,87.649756884390342,-14.892483641941070,-14.102723714267682,-12.947455983231428,-14.539690281889293
E08000014,Sefton,134.205739132403352,-24.385917993593139,-19.632056676672718,-24.827194392809346,-19.038031225420184
E07000166,Richmondshire,102.979249661014407,-15.454477582342705,-16.917795139015524,-17.910889494735912,-13.702599374914186
E07000189,South Somerset,124.301962979614501,-19.074813432973869,-18.294538334183898,-18.647893809748325,-17.259372473418978
E09000025,Newham,222.188273396760280,-27.027923053508232,-11.748793330255609,-17.376036689534459,-13.664289738511968
E07000206,Waveney,99.627852337139245,-15.537053949197400,-14.086819709029015,-14.309811455276019,-15.204543100722276
E06000022,Bath and North East Somerset,258.700101796730962,-42.810957926744550,-32.900786159713135,-43.744972775441170,-29.759870833791950
E07000142,West Lindsey,83.429319790186142,-8.098755212731604,-9.041420495961319,-7.349199477836223,-6.991911841161354
E07000100,St Albans,257.524552450955468,-42.677692917910349,-35.523564417573880,-36.402073006512978,-36.948105218053058
E07000145,Great Yarmouth,97.794412593781530,-15.250135546632961,-12.210679784927123,-14.392864175840415,-13.201934559261915
E07000199,Tamworth,152.009529275534874,-23.900825082537949,-19.522910821697621,-17.247712983039776,-16.328188405704410
E07000120,Hyndburn,81.859078985971792,-13.921567046024947,-15.662648769577103,-15.666672108530420,-11.859276455868645
E06000040,Windsor and Maidenhead,282.085350868848764,-46.496665295890978,-34.158205918859608,-38.810022591281410,-33.078990610261826
E09000031,Waltham Forest,153.157969549937974,-13.068743161214996,-12.175685078201838,-11.795813037714453,-12.250091799828596
E07000118,Chorley,119.971702475560065,-22.477653797177254,-16.822769505203766,-20.910932309833839,-19.890748475751039
E09000007,Camden,340.124266872611315,-31.107938726208204,-23.791690448123916,-27.357455615255390,-24.501496824288324
E07000012,South Cambridgeshire,144.126208101172381,-21.691326176646172,-17.148134514630314,-26.112581305945611,-23.052052886937219
E07000049,East Dorset,135.195449655137566,-19.788404681348041,-22.613044999734029,-22.399052225392722,-19.677287283469227
E07000033,Bolsover,133.305920098711027,-19.185362311987262,-7.266780808201503,-8.862297701500822,-5.750410593008453
E06000053,Isles of Scilly,700.000000000000000,,-105.000000000000000,,
E07000133,Melton,106.223842842078355,-8.967999575025303,-11.053914243970340,-9.681997576735142,-10.267406451450512
E06000039,Slough,190.293754634199473,-30.871479354565679,-22.443020369427984,-28.185820387179007,-22.780267727582071
E06000031,Peterborough,217.202229137679922,-41.731482238484091,-26.804816895235348,-29.294670174723080,-27.149736303823630
E07000112,Shepway,101.861989702323172,-14.519484539228671,-14.684147850452575,-14.759725083821351,-14.580262376684445
E07000180,Vale of White Horse,124.137743216098031,-17.962453960049586,-17.045054379435257,-16.065381559774167,-17.588259600416535
E07000137,East Lindsey,105.267030310367403,-9.784215468760820,-10.074079256708970,-9.862784284443123,-8.593299301996041
E07000209,Guildford,382.502980479155497,-59.487924909765582,-42.225891359564287,-43.689182057987693,-45.918184127762288
E07000204,St Edmundsbury,161.939667038585213,-26.899800493592011,-24.520318668501091,-23.503141347449827,-20.767309219604357
E07000048,Christchurch,156.499333326024299,-24.040387106380393,-27.470789142441504,-23.342487657934839,-22.460723054711181
E06000012,North East Lincolnshire,111.465596939078580,-20.945732118083882,-15.492502453794444,-13.164883402610769,-14.676255143822303
E07000156,Wellingborough,113.907978355885021,-10.682640898718503,-10.786359472403291,-9.203780476226413,-9.079420334332298
E09000012,Hackney,180.434513119045505,-14.903101029644944,-13.879304945685760,-14.650649217240215,-14.252761376798276
E07000037,High Peak,99.549693508010705,-9.714608639862291,-9.336208724809609,-7.966316904202813,-8.364011408050487
E07000170,Ashfield,85.020950980914222,-8.435318767385709,-8.458133594711953,-6.453088206780379,-7.582688470405955
E07000106,Canterbury,196.040123477670960,-30.905346445665685,-24.140866580097651,-26.204906498397008,-23.423444279878424
E06000056,Central Bedfordshire,123.612731754598542,-19.546934025104761,-17.071263040547407,-18.777193542005762,-17.687716002939410
E06000015,Derby,135.709095315415340,-14.741471997647835,-9.498055803407993,-13.551679396219498,-9.941527470928875
E07000079,Cotswold,180.699221896948785,-27.855153263581172,-28.972905825846254,-26.092780724917731,-26.974184800095827
E07000076,Tendring,111.643632602050701,-17.177018934944144,-16.352849935376426,-19.559067744598778,-15.487330881122674
E07000196,South Staffordshire,107.411548389319492,-15.717462715578961,-13.115662140446574,-11.314927060653417,-13.692440455105725
